exp_id	exp_idx	timestamp	n_layer	n_embd	n_head	noise_steps	lr	bidirectional	batch_size	dropout	weight_decay	num_params_M	train_steps	train_seconds	total_seconds	final_train_loss	val_loss	nt_dist_error	gc_error	real_gc	gen_gc	peak_vram_mb	total_tokens_M
scale_8L_512_1e4	39	2026-04-15T10:07:21.578068	8	512	8	128	0.0001	True	8	0.0	0.01	44.6	128	300.4	579.2	6.4108	6.888448	0.250000	0.468961	0.4690	0.0000	14862	16.8
final_best_v1	40	2026-04-15T10:19:52.423066	10	640	10	128	0.0002	True	8	0.05	0.05	82.5	78	300.6	750.7	7.0193	6.826782	0.250000	0.468961	0.4690	0.0000	14862	10.2
final_best_v2	41	2026-04-15T10:32:27.194940	10	640	10	64	0.0002	True	8	0.05	0.05	82.5	78	302.9	754.7	7.8174	6.780388	0.250000	0.468961	0.4690	0.0000	14862	10.2
final_best_v3	42	2026-04-15T10:48:52.780197	12	768	12	128	0.0002	True	4	0.05	0.05	138.1	52	300.7	985.5	6.3472	6.846983	0.250000	0.468961	0.4690	0.0000	14862	6.8
final_wide_shallow	44	2026-04-15T11:03:41.861218	6	1024	16	128	0.0002	True	2	0.05	0.05	128.0	142	302.2	493.3	8.1180	7.345928	0.250000	0.468979	0.4690	0.0000	4970	18.6
final_deep_narrow	45	2026-04-15T11:11:24.377146	16	384	6	128	0.0002	True	16	0.05	0.05	47.5	207	301.2	462.4	6.8134	6.487854	0.250000	0.468961	0.4690	0.0000	22154	27.1
final_best_v4	43	2026-04-15T11:12:33.581915	12	768	12	64	0.0002	True	4	0.05	0.05	138.1	52	303.8	1420.7	7.1779	6.832281	0.250000	0.468961	0.4690	0.0000	14862	6.8
final_10L_768_d02	46	2026-04-15T11:20:08.077318	10	768	12	128	0.0002	True	4	0.2	0.05	116.8	134	301.9	523.6	8.1898	6.776247	0.250000	0.468961	0.4690	0.0000	22154	17.6
final_8L_768_5e4	47	2026-04-15T11:29:35.393735	8	768	12	128	0.0005	True	4	0.1	0.01	95.6	166	301.6	483.3	7.8860	6.245390	0.250000	0.468961	0.4690	0.0000	7120	21.8
final_8L_768_1e4_d	48	2026-04-15T11:37:37.611796	8	768	12	128	0.0001	True	4	0.1	0.01	95.6	165	301.5	482.1	6.1869	6.776440	0.250000	0.468961	0.4690	0.0000	7120	21.6
final_champion	49	2026-04-15T11:45:38.798227	10	640	10	128	0.0002	True	8	0.1	0.01	82.5	170	300.2	481.1	7.6293	6.333209	0.250000	0.468961	0.4690	0.0000	12641	22.3
final_deep_narrow	45	2026-04-15T11:51:10.553969	16	384	6	128	0.0002	True	16	0.05	0.05	47.5	48	302.1	1045.7	7.5551	7.485086	0.250000	0.468961	0.4690	0.0000	22154	6.3
final_10L_768_d02	46	2026-04-15T12:05:31.129340	10	768	12	128	0.0002	True	4	0.2	0.05	116.8	61	303.2	860.5	8.1644	6.790364	0.250000	0.468961	0.4690	0.0000	22154	8.0
final_8L_768_5e4	47	2026-04-15T12:18:32.266893	8	768	12	128	0.0005	True	4	0.1	0.01	95.6	72	303.8	781.0	5.1398	6.274495	0.250000	0.468961	0.4690	0.0000	22154	9.4
final_8L_768_1e4_d	48	2026-04-15T12:31:33.224401	8	768	12	128	0.0001	True	4	0.1	0.01	95.6	72	304.3	780.8	7.9685	7.080900	0.250000	0.468961	0.4690	0.0000	22154	9.4
final_champion	49	2026-04-15T12:44:38.716648	10	640	10	128	0.0002	True	8	0.1	0.01	82.5	74	301.5	785.4	6.6122	6.830935	0.250000	0.468961	0.4690	0.0000	22154	9.7
